mjsdxxb12q3bA01	16的平方根是（)<br/>
mshsy11Adlzy0918	已知二次函数\\[f(x)=a{{x}^{2}}+bx\\] (\\[a,b\\]为常数，且\\[a\\ne 0\\])满足条件：\\[f(x-1)=f(3-x)\\] ，且方程\\[f(x)=2x\\]有两个相等的根．<br/>\	（1）求\\[f(x)\\]的解析式；<br/>\	（2）求\\[f(x)\\]在\\[\\left[ 0,t \\right]\\]上的最大值，\\[g(t)\\] 的表达式．<br/><br/>
mshsy11Adlzy0919	设\\[f(x)\\]定义域为\\[(0,+\\infty )\\]且在\\[(0,+\\infty )\\]上是增函数， \\[f(\\frac{x}{y})=f(x)-f(y)\\]．<br/>\	（1）求证\\[f(1)=0,f(xy)=f(x)+f(y)\\]；<br/>\	（2）若\\[f(2)=1\\]，解不等式\\[f(x)-f(\\frac{1}{x-3})\\ \\le \\ 2\\] <br/>
mshsy11Adlzy0920	某上市股票在30天内每股的交易价格\\[f(x)=g(x)\\]（元）与时间\\[\\therefore \\frac{x-3}{x+3}=a(x-1)(3,+\\infty )\\]（天）组成有序数对\\[\\left( t,P \\right)\\]，点\\[\\left( t,P \\right)\\] <br/>落在图中的两条线段上；该股票在30天内的日交易量\\[\\therefore \\frac{1}{a}=t+\\frac{12}{t}+8,t+\\frac{12}{t}\\ge 4\\sqrt{3}+8\\]（万股）与时间（天）的部分数<br/>据如下表所示（1）根据提供的图像，写出该种股票每股交易价格\\[\\therefore \\frac{1}{a}>4\\sqrt{3}+8,\\therefore 0<a<\\frac{2-\\sqrt{3}}{4}\\]（元）与时间\\[t\\]（天）所满足的函数关系式；<br/>（2）根据表中数据，写出日交易量\\[Q\\]（万<img src='http://qfile.bd.starclink.com/bigdata_q_mshsy11Adlzy0920__img_0.png?t=1509705012531' style='width:1.64pt;height:1.64pt;max-width:100%;'/>股）与时间\\[t\\]（天）的一次函数关系式；<br/>（3）用\\[y\\]（万元）表示该股票日交易额（日交易额=交易价格×日交易量），写出\\[y\\]关于\\[t\\]的函数关系式，并求在这30天内第几天日交易额最大，最大值为多少？<br/><br/>
mshsy11Adlzy0921	定义\\[sgn(x)=\\left\\{ \\begin{align}  & 1\\ (x>0) \\\\  & 0\\ (x=0) \\\\  & -1\\ (x\\ <\\ 0) \\\\ \\end{align} \\right.\\]，已知函数：\\[f(x)={{a}^{x}}+\\frac{\\text{sgn}(x)}{{{a}^{\\left| x \\right|}}}\\]（\\[a>0\\]且\\[a\\ne 1\\]）<br/>（1）解不等式\\[f(x)\\ \\ \\le \\ \\ 2\\]；<br/>（2）若\\[f(1)=\\frac{5}{2}\\]且不等式\\[f(2t)+mf(t)+4\\ge 0\\]对于任意正实数\\[t\\]恒成立，求实数\\[m\\]的取值范围．<br/><br/>
mshsy11Adlzy0922	函数\\[f(x)={{\\log }_{a}}\\frac{x-3}{x+3},g(x)=1+{{\\log }_{a}}(x-1)\\] (\\[a>0\\]且 \\[a\\ne 1\\] )，设\\[f(x)\\]和\\[g(x)\\]定义域的公共部分为\\[D\\]．<br/>（1）求集合\\[D\\]；<br/>（2）当\\[a>1\\]时，若不等式\\[g(x-\\frac{1}{6})-f(2x)>2\\]在\\[D\\]内恒成立，求实数\\[a\\]的取值范围；<br/>（3）是否存在实数\\[a\\]，使得\\[\\left[ m,n \\right]\\subsetneqq D\\]时，\\[f(x)\\]在\\[[m,n]\\]上的值域是\\[[g(n),g(m)]\\]．若存在求\\[a\\]的取值范围；若不存在说明理由．<br/><br/>
mj18sk8Bjcsy5yyk01	下列四个图形中，既是轴对称图形又是中心对称图形的有(   )<br/>
mj18sk8Bjcsy5yyk02	如果把\\[\\frac{5x}{x+y}\\]的\\[x\\]与\\[y\\]都扩大10倍，那么这个代数式的值(   )<br/>
mj18sk8Bjcsy5yyk03	若四条不相等的线段\\[a,b,c,d\\]满足\\[\\frac{a}{b}=\\frac{c}{d}\\]，\\[m>0\\]则下列式子中，成立的是(   )<br/>
mj18sk8Bjcsy5yyk04	如图，在\\[ABC\\]中，\\[AB=1\\]，\\[AC>BC\\]，\\[C\\]为\\[AB\\]的黄金分割点，则\\[AC\\]的长为(   )<br/>
mj18sk8Bjcsy5yyk05	一次函数\\[y=kx+b\\left( k\\ne 0 \\right)\\]与反比例函数\\[y=\\frac{k}{x}\\left( k\\ne 0 \\right)\\]的图象在同一平面直角坐标系下的大致图象如图所示，则\\[k,b\\]的取值范围是(   )<br/>
mj18sk8Bjcsy5yyk06	如图，在同一平面直角坐标系中，直线\\[y={{k}_{1}}x\\left( {{k}_{1}}\\ne 0 \\right)\\]与双曲线\\[y=\\frac{{{k}_{2}}}{x}\\left( {{k}_{2}}\\ne 0 \\right)\\]相交于\\[A,B\\]两点，若点\\[B\\]的坐标为\\[\\left( -1,-2 \\right)\\]，则点\\[A\\]的坐标为(   )<br/>
mj18sk8Bjcsy5yyk07	如图，已知\\[P\\]为反比例函数\\[y=\\frac{4}{x}\\]图象上的一个动点，\\[O\\]为坐标原点，过\\[P\\]作\\[x\\]轴的垂线，垂足为\\[C\\]，连接\\[OP\\]，则\\[\\vartriangle PCO\\]的面积为(   )<br/>
mj18sk8Bjcsy5yyk08	如图，\\[O\\]为矩形\\[ABCD\\]的中心，将直角三角板\\[OPQ\\]的直角顶点与\\[O\\]重合，转动三角板，使两条直角边始终与边\\[BC,AB\\]相交，交点分别为\\[M,N\\].若\\[AB=4\\]，\\[AD=6\\], \\[BM=x\\],\\[AN=y\\]，则\\[y\\]与\\[x\\]之间的函数图像是(   )<br/>
mj18sk8Bjcsy5yyk09	化简：\\[\\frac{{{x}^{2}}-9}{x-3}=\\] _______．<br/>
mj18sk8Bjcsy5yyk10	若\\[\\frac{y}{x}=\\frac{3}{4}\\]，则\\[\\frac{x+y}{x}\\]的值为_______．<br/>
mj18sk8Bjcsy5yyk11	已知线段\\[a,b,c\\]，其中\\[c\\]是\\[a,b\\]的比例中项，若\\[a=9\\text{cm}\\]，\\[b=4\\text{cm}\\]，则线段\\[c\\]长_______．<br/>
mj18sk8Bjcsy5yyk12	如果在比例尺为\\[1:1000000\\]的地图上，\\[A,B\\]两地的图上距离是3厘米，那么\\[A,B\\]两地的实际距离是_______千米．<br/>
mj18sk8Bjcsy5yyk13	如图，已知：\\[{{l}_{1}}\\text{//}{{l}_{2}}\\text{//}{{l}_{3}}\\]，\\[AB=4\\]，\\[DE=2\\]，\\[EF=3\\]，则\\[BC=\\]_______．<br/>
mj18sk8Bjcsy5yyk14	如图，在<img src='http://qfile.bd.starclink.com/bigdata_q_mj18sk8Bjcsy5yyk14__img_0.png?t=1526717524089' style='width:10.50pt;height:9.75pt;max-width:100%;'/>\\[ABCD\\]中，\\[AD=6\\]，点\\[E,F\\]分别是\\[BD,CD\\]的中点，则\\[EF=\\]_______．<br/>
mj18sk8Bjcsy5yyk15	如图，平行四边形\\[ABCD\\]中，\\[AB=5\\]，\\[AD=3\\]，\\[AE\\]平分\\[\\angle DAB\\]交\\[BC\\]的延长线于\\[F\\]点，则\\[CF=\\]_______．<br/>
mj18sk8Bjcsy5yyk16	反比例函数\\[y=\\frac{3}{x}\\]的图像绕坐标系原点逆时针旋转\\[{{45}^{{}^\\circ }}\\]后，图像与\\[y\\]轴正半轴的交点坐标为_______．<br/>
mj18sk8Bjcsy5yyk17	计算：<br/>(1)\\[\\frac{m-15}{{{m}^{2}}-9}+\\frac{2}{m-3}\\]；\	\	(2)\\[1-\\frac{a-b}{a+2b}\\div \\frac{{{a}^{2}}-{{b}^{2}}}{{{a}^{2}}+4ab+4{{b}^{2}}}\\]．<br/>
mj18sk8Bjcsy5yyk18	解下面的方程：<br/>(1)\\[\\frac{5x-4}{x-2}+1=\\frac{4x+10}{3x-6}\\]；\	\	\	(2)\\[\\frac{1}{x-1}=\\frac{5}{2x+1}\\]．<br/>
mj18sk8Bjcsy5yyk19	已知\\[y\\]与\\[x+1\\]成反比例，当\\[x=1\\]时，\\[y=1\\].<br/>（1）求\\[y\\]与\\[x\\]的函数关系式；<br/>（2）当\\[x=0\\]时，求\\[y\\]。<br/>
mj18sk8Bjcsy5yyk20	如图，已知：\\[AB\\text{//}CD\\]，\\[BE\\bot AD\\]，垂足为点\\[E\\]，\\[CF\\bot AD\\]，垂足为点\\[F\\]，并且\\[AE=DF\\]．<br/>求证：（1）\\[\\vartriangle ABE\\cong \\vartriangle DCF\\]；<br/>（2）四边形\\[BECF\\]是平行四边形．<br/>
mj18sk8Bjcsy5yyk21	已知反比例函数\\[{{y}_{1}}=\\frac{k}{x}\\]的图象与一次函数\\[{{y}_{2}}=ax+b\\]的图象交于点\\[A\\left( 1,4 \\right)\\]和点\\[B\\left( -2,m \\right)\\].<br/>(1)求这两个函数的表达式；<br/>(2)根据图象直接写出一次函数的值小于反比例函数的值的\\[x\\]的取值范围；<br/>(3)求\\[\\vartriangle ABO\\]的面积.<br/>
mj18sk8Bjcsy5yyk22	点\\[A\\]是反比例函数\\[{{y}_{1}}=\\frac{k}{x}\\]\\[\\left( x>0 \\right)\\]上任意一点，连接\\[OA\\]交反比例函数\\[{{y}_{2}}=\\frac{m}{x}\\]与\\[B\\]，过点\\[A\\]作\\[x\\]轴垂线分别交\\[x\\]轴、\\[{{y}_{2}}\\]于点\\[C,D\\]. 当\\[A\\]点坐标为\\[\\left( 3,6 \\right)\\]时，\\[AB=\\frac{1}{3}OA\\].<br/>(1)求\\[k,m\\]；<br/>(2)试证明：在\\[A\\]点移动的过程中，\\[\\vartriangle ABD\\]面积为定值.<br/>
mj18sk8Bjcsy5yyk23	如图，在\\[\\text{Rt}\\vartriangle ABC\\]中，\\[\\angle ACB={{90}^{{}^\\circ }}\\]，\\[AC=6\\]，\\[BC=8\\]，点\\[D\\]为边\\[CB\\]上的一个动点（点\\[D\\]不与点\\[B\\]重合），过\\[D\\]作\\[DO\\bot AB\\]，垂足为\\[O\\]，点\\[{B}'\\]在边\\[AB\\]上，且与点\\[B\\]关于直线\\[DO\\]对称，连接\\[D{B}'\\]，\\[AD\\]．<br/>（1）求证：\\[\\vartriangle DOB\\sim \\vartriangle ACB\\]；<br/>（2）若\\[AD\\]平分\\[\\angle CAB\\]，求线段\\[BD\\]的长；<br/>（3）当\\[\\vartriangle A{B}'D\\]为等腰三角形时，求线段\\[BD\\]的长．<br/>
mjkszyjsb7A4c2ks01	已知\\[a=b\\]，那么下列等式不一定成立的是  （   ）<br/>
mjkszyjsb7A4c2ks02	下列方程变形的过程中，正确的是    （   ）<br/>
mjkszyjsb7A4c2ks03	已知关于\\[x\\]的方程\\[2x-a-5=0\\]的解是\\[x=-2\\]，则\\[a\\]的值是（   ）<br/>
mjkszyjsb7A4c2ks0401	（1）方程\\[x-15=0\\]的解是_______；<br/>
mjkszyjsb7A4c2ks0402	（2）若\\[x=2\\]是关于x的方程\\[2x+3m=1\\]的解，则\\[m\\]的值为_______；<br/>
mjkszyjsb7A4c2ks0403	（3）（2016·成都）已知<img src='http://qfile.bd.starclink.com/bigdata_q_mjkszyjsb7A4c2ks04__img_0.png?t=1509949228726' style='width:50.24pt;height:16.50pt;max-width:100%;'/>，则\\[a\\]=_______.<br/><br/>
mjkszyjsb7A4c2ks05	解下列方程：<br/>（1）\\[-4x=16\\]<br/>（2）\\[x+5=-3\\]<br/>（3）\\[7x=6x+12\\]<br/>（4）\\[\\frac{5}{2}x-7=\\frac{3}{2}x+1\\]<br/>
mjkszyjsb7A4c2ks06	一元一次方程\\[2x=4\\]的解是（）<br/>
mjkszyjsb7A4c2ks07	（2016·海南）若代数式\\[x+2\\]的值为1，则\\[x\\]的值为（）<br/>
mjkszyjsb7A4c2ks08	下列方程中，解不是\\[x=2\\]的是（）<br/>
mjkszyjsb7A4c2ks09	在方程\\[\\frac{2}{3}x+1=\\frac{1}{2}\\]的两边分别乘6，得（）<br/>
mjkszyjsb7A4c2ks1001	（1）方  程   \\[6x=4x+5\\]，变形为\\[6x+4x=5\\].（     ）<br/>改正：           .<br/>
mjkszyjsb7A4c2ks1002	（2）方程\\[3y=\\frac{1}{3}\\]，两遍都除以3，得\\[y=1\\].（   ）<br/>改正：           .<br/>
mjkszyjsb7A4c2ks1101	（1）（2016·广东）已知等式\\[x-2y+3=8\\]，则整式\\[x-2y\\]的值为______<br/>
mjkszyjsb7A4c2ks1102	（2）当\\[m\\]=_______时，关于x的方程\\[2x+m=x+1\\]的解为\\[x=-4\\]；<br/>
mjkszyjsb7A4c2ks1103	（3）已知关于\\[x\\]的方程\\[2x-a-5=0\\]的解是\\[x=2\\]，则a的值为_______.<br/><br/>
mjkszyjsb7A4c2ks12	请写出一个解为\\[x=-2018\\]的一元一次方程：_______.<br/>
mjkszyjsb7A4c2ks13	解下列方程：<br/>（2）\\[x+2=7\\]；<br/>（2）\\[\\frac{1}{3}y=-9\\]；<br/>（3）\\[-2x=-3x+\\frac{5}{3}\\]；<br/>（4）\\[56=3x+32-2x\\]；<br/>（5）\\[3x-7-6x=-8\\]；<br/>（6）\\[7.9x+1.58+x=7.9x+8.42\\].<br/>
mjkszyjsb7A4c2ks14	若关于\\[x\\]的方程<img src='http://qfile.bd.starclink.com/bigdata_q_mjkszyjsb7A4c2ks14__img_0.png?t=1508919826166' style='width:92.99pt;height:18.75pt;max-width:100%;'/>是一元一次方程，则\\[m\\]的值能确定吗？并说明理由.<br/>
mjkszyjsb7A4c2ks11	填空<br/>
mjkszyjsb7A4c2ks04	填空<br/>
mjkszyjsb7A4c2ks10	判断（对的画“√”，错的画“\\[\\times \\]”），并改正.<br/><br/>
bj18sk8Bjcsy5yyk01	小明观察装片时，首先看到了右图中图1所示的图像，然后进行操作并观察到图2所示的物像，小明观察时没有进行的操作是（     ）<br/>
bj18sk8Bjcsy5yyk02	有关右图所示细胞的叙述中，正确的是（     ）<br/>
bj18sk8Bjcsy5yyk03	下图的A～D中，最能体现细胞分化的是（     ）<br/>
bj18sk8Bjcsy5yyk04	生命活动是神奇而复杂的，从某种程度讲，它依赖于生命所特有的结构层次。下列结构中，都属于器官层次的结构是（     ）<br/>
bj18sk8Bjcsy5yyk05	“人间四月芳菲尽，山寺桃花始盛开”，造成这一差异的环境因素是（     ）<br/>
bj18sk8Bjcsy5yyk06	蚯蚓生活在潮湿、疏松、富含有机物的土壤中。蚯蚓的活动又能改良土壤，提高土壤肥力。这说明（     ）<br/>
bj18sk8Bjcsy5yyk07	一个由水稻、蝗虫、青蛙组成的相对封闭的生态系统中，如果将青蛙杀光，蝗虫的数量变化比较符合下列哪一曲线图（     ）<br/>
bj18sk8Bjcsy5yyk08	下列保护生物多样性的措施中，错误的是（     ）<br/>
bj18sk8Bjcsy5yyk09	下列有关右侧图片中两种植物的叙述正确的是(   )<br/>
bj18sk8Bjcsy5yyk10	下列说法中正确的是（     ）<br/>
bj18sk8Bjcsy5yyk11	下表为四种动物的比较表。其中全部正确的是（     ）<br/>
bj18sk8Bjcsy5yyk12	以下可以被称为抗原的是（     ）<br/>①侵入人体内的水痘病毒               <br/>②移植入尿毒症患者体内的肾脏<br/>③移植到烧伤患者面部的自身腿部皮肤   <br/>④输入到A型血患者体内的B型血细胞<br/>⑤接种到健康人体内的流感病毒疫苗    <br/>⑥注射到人体内的葡萄糖溶液<br/>
bj18sk8Bjcsy5yyk13	右图是探究“溶液浓度的大小对植物吸水的影响”实验。取两个大小相同的萝卜，各从其顶端向下挖一个大小一样的洞。在甲图萝卜洞内装入浓盐水，在乙图中的萝卜洞内装入等量的清水，过一段时间后，观察现象，甲图的萝卜洞里的水会______，乙图中的萝卜会______。（     ）<br/>
bj18sk8Bjcsy5yyk14	根据如图所示碳循环的部分过程，有关分析错误的是（     ）<br/>
bj18sk8Bjcsy5yyk15	在如图所示的实验中，控制其他饲养条件相同，观察一周，则会看到哪个玻璃缸中的蝌蚪发育最快？（     ）<br/>
bj18sk8Bjcsy5yyk16	下列哪种途径不属于排泄（     ）<br/>
bj18sk8Bjcsy5yyk17	右图所示是用显微镜观察到的人血涂片视野，下列关于其组成成分的表述错误的是（     ）<br/>
bj18sk8Bjcsy5yyk18	下列疾病中，都是由于激素分泌异常而引起的是（     ）<br/>
bj18sk8Bjcsy5yyk19	四个同学使用不同的显微镜镜头组合观察洋葱表皮细胞装片，其中显微镜视野最暗的镜头组合是（    ）<br/>
bj18sk8Bjcsy5yyk20	观察右图，下列叙述中正确的是（     ）<br/>
bj18sk8Bjcsy5yyk21	下列有关男女生殖与发育知识的叙述，错误的是（     ）<br/>
bj18sk8Bjcsy5yyk22	根据右侧的概念图，下列描述错误的是（     ）<br/>
bj18sk8Bjcsy5yyk23	流感、流感病人、流感病人的飞沫、流感病毒分别属于（　　）①传染源；②病原体；③传播途径；④传染病；⑤易感人群<br/>
bj18sk8Bjcsy5yyk24	如图，基因组成是AA的芒果枝条①，嫁接到基因组成为aa的砧木②上，所结芒果的性状表现和基因组成分别为（     ）<br/>
bj18sk8Bjcsy5yyk25	在人群中，右利手（惯用右手）的人远多于左利手的人，一对夫妇，父亲惯用右手，母亲惯用左手，他们的儿子惯用右手，则错误的说法是（     ）<br/>
bj18sk8Bjcsy5yyk26	右侧是某地层图，其中富含化石，已知先形成的地层居下，后形成的地层居上。下面说法错误的是（     ）<br/>
bj18sk8Bjcsy5yyk27	为了人们的身体健康，现在各医院都使用一次性输液器、注射器．从预防传染病的角度分析，这属于预防措施中的（     ）<br/>
bj18sk8Bjcsy5yyk28	下列图示属于保卫人体的第二道防线的是（     ）<br/>
bj18sk8Bjcsy5yyk29	血液进入肾脏后形成尿液的途径是（     ）<br/>
bj18sk8Bjcsy5yyk30	某生态系统中四种生物所占的数量关系如右图所示。假设这四种生物构成一条食物链，则在这条食物链中，能量流动的方向是（     ）<br/>
bj18sk8Bjcsy5yyk31	右图曲线表示某种物质在消化道内的消化情况，这种物质是（     ）<br/>
bj18sk8Bjcsy5yyk32	如果用右图表示相关概念之间的关系，下列选项中与图示相符的是（     ）<br/>
bj18sk8Bjcsy5yyk33	某同学视力正常。当他在院子里试验自己做的遥控直升机玩具时，成功地将直升机上升到10多米的空中，并降落在自己脚边。下列选项中，能正确反映该同学在此过程中眼内晶状体曲度变化情况的是（     ）<br/>
bj18sk8Bjcsy5yyk34	右图是人体内部分系统的代谢关系简易示意图，图中①、②、③、④分别表示（     ）<br/>
bj18sk8Bjcsy5yyk35	右图为人体某处的血管结构和血流方向示意图。下列有关叙述正确的是（     ）<br/>
bj18sk8Bjcsy5yyk36	张莉对下列四种生物的结构特征进行分析比较，获得的结果如下表所示（表中“+”表示有，“-”表示无）。你认为记录正确的是（     ）<br/>
bj18sk8Bjcsy5yyk37	下列叙述正确的是（     ）<br/>
bj18sk8Bjcsy5yyk38	正常人的血液经过滤过作用和重吸收作用后，成分发生了变化。下表中四种液体的成分，若含有该物质，则在表格相应表格内打“√”。其中标注错误的是（     ）<br/>
bj18sk8Bjcsy5yyk39	以下关于实验的说法正确的是（     ）<br/>
bj18sk8Bjcsy5yyk40	关于噬菌体的叙述正确的是（     ）<br/>
bj18sk8Bjcsy5yyk4101	引起小明缩手的神经结构是_________ 。它包括①_______；②_______；③_______；④_______；⑤_______；横线上正确的填写顺序是（     ）<br/>
bj18sk8Bjcsy5yyk4102	小明的手被马蜂蜇后立即缩手属于   反射，之后听到马蜂把手藏起来属于_______反射。 （     ）<br/>
bj18sk8Bjcsy5yyk4103	小明因外伤致使与手部肌肉相连的传出神经受损，则他缩手的情况最可能是（     ）<br/>
bj18sk8Bjcsy5yyk4104	小明感觉到痛的神经中枢是_______，控制缩手的神经中枢是_______。（     ）<br/>
bj18sk8Bjcsy5yyk4105	大脑皮质又称为_______，是_______密集的部位。（     ）<br/>
bj18sk8Bjcsy5yyk4201	以下哪个结构不具备对于空气的清洁作用（     ）<br/>
bj18sk8Bjcsy5yyk4202	PM2.5进入肺的途径是（     ）<br/>
bj18sk8Bjcsy5yyk4203	以下哪项措施不能减少空气污染（     ）<br/>
bj18sk8Bjcsy5yyk4204	老张因为吸入过多的细颗粒物，引发支气管炎去医院就诊，通过血液检查会发现他的（     ）<br/>
bj18sk8Bjcsy5yyk4205	很多树木对大气粉尘有很好的阻滞、过滤作用，能有效降低PM数值，其主要原因不包括（     ）<br/>
bj18sk8Bjcsy5yyk4301	“毒奶粉”是指受三聚氰胺污染的婴幼儿配方奶粉，它会导致婴儿患上双肾多发性结石、输尿管结石等婴儿罕见病症。下列说法错误的是（     ）<br/>
bj18sk8Bjcsy5yyk4302	尽管目前还没有足够证据证明转基因食品对人类有害，但转基因食品安全性问题已引起人们的密切关注。下列说法错误的是（     ）<br/>
bj18sk8Bjcsy5yyk4303	农药、抗生素、激素和其他有害物质残留于禽、畜、水产品体内，这些有害物质会通过（     ）在人体中富集。<br/>
bj18sk8Bjcsy5yyk4304	以下关于食品添加剂的说法错误的是（     ）<br/>
bj18sk8Bjcsy5yyk4305	“毒胶囊”是利用工业明胶制成的胶囊，往往重金属铬超标，对人体的毒性非常强。进入人体的铬被积存在人体组织中，代谢和被清除的速度非常缓慢。铬对人主要是慢性毒害，它可以通过消化道、呼吸道、皮肤和粘膜侵入人体，在体内主要积聚在肺、肝、肾和内分泌腺中，对肝、肾等内脏器官和DNA造成损伤。根据以上资料，以下说法正确的是（     ）<br/>
gj18sk8Bjcsy5yyk0101	下列节气中，苏州白昼时间最长的是（    ）<br/>
gj18sk8Bjcsy5yyk0102	5月25日，太阳直射点的位置位于（    ）之间<br/>
gj18sk8Bjcsy5yyk02	下图中使用地球仪模型演示地球自转方向正确的是（    ）<br/>
gj18sk8Bjcsy5yyk03	一人面南而立，前方是南半球，后方是北半球，左侧是西半球，西侧是东半球，该人所处位置的地理坐标是（    ）<br/>
gj18sk8Bjcsy5yyk0401	已知A点的温度为20℃，那么B点的温度约为（    ）<br/>
gj18sk8Bjcsy5yyk0402	图中易发育河流的山体部位是（    ）<br/>
gj18sk8Bjcsy5yyk0501	其中某大洋是（    ）<br/>
gj18sk8Bjcsy5yyk0502	下列对于①大洲的描述错误的是（    ）<br/>
gj18sk8Bjcsy5yyk06	读图，若图中地区正值夏季，下列关于A、B两地所处海陆位置描述正确的是（    ）<br/>
gj18sk8Bjcsy5yyk07	有关中东地理特征的叙述，正确的是(    )                     <br/>
gj18sk8Bjcsy5yyk0801	图中字母A、B、C代表南极地区周围的大洋，其中B是（    ）洋<br/>
gj18sk8Bjcsy5yyk0802	泰山站大致位于长城站的（    ）方向<br/>
gj18sk8Bjcsy5yyk09	读下图，我国“西气东输”一线工程将塔里木盆地的天然气输送到（    ）<br/>
gj18sk8Bjcsy5yyk1001	沪昆高铁穿越了很多隧道。根据地形推断，下列途径隧道最多的区间段是（    ）<br/>
gj18sk8Bjcsy5yyk1002	高铁经过东南丘陵地区，可以看到很多坡地上有（    ）<br/>
gj18sk8Bjcsy5yyk1003	下列景观，乘坐沪昆高铁可观赏到的是（    ）<br/>
gj18sk8Bjcsy5yyk1101	张家口崇礼区有北方最大的滑雪场，素有“东方达沃斯”的美誉。根据所给资料，和北京相比，张家口崇礼滑雪场具有的优势有（    ）<br/>①纬度低       ②地势高        <br/>③气温高       ④年积雪日期长<br/>
gj18sk8Bjcsy5yyk1102	第十二届全国人民代表大会第五次会议和政协第十二届全国委员会第五次会议,分别于2017年3月5日和3月3日在北京开幕。“两会”在北京召开，说明北京是（    ）                                       <br/>
gj18sk8Bjcsy5yyk12	读英国气温曲线和降水量柱状图（如下图），英国的气候特征为（    ）<br/>
gj18sk8Bjcsy5yyk13	中国地震台网中心网站消息，四川阿坝州九寨沟县（图甲乙中②处），北京时间2017年8月8日21时19分，发生7.0级地震。新疆博尔塔拉州精河县（图甲乙中①处），北京时间2017年8月9日7时27分发生6.6级地震。读图甲图乙，地震后，救援队迅速到达灾区进行救灾，可能遇到的阻难有（    ）<br/>
gj18sk8Bjcsy5yyk14	香港“填海造陆”的主要原因是（    ）<br/>
gj18sk8Bjcsy5yyk15	回归之后，香港一直与祖国内地保持优势互补的经济合作，对此说法错误的是（    ）<br/>
gj18sk8Bjcsy5yyk16	下列哪个景象属于青藏高原内的景象（    ）<br/>
gj18sk8Bjcsy5yyk1701	经过图中A山脉的我国重要的地理分界线是（    ）<br/>
gj18sk8Bjcsy5yyk1702	B山脉以西的图示地区突出的生态环境问题是（    ）<br/>
gj18sk8Bjcsy5yyk18	“夜来风雨声，花落知多少”描述的是天气现象。<br/>
gj18sk8Bjcsy5yyk19	图幅大的地图一定比图幅小的地图内容详细。<br/>
gj18sk8Bjcsy5yyk20	依据板块运动的观点，红海是由于非洲板块与亚欧板块张裂形成的。<br/>
gj18sk8Bjcsy5yyk21	美国地跨两大洲，濒临三大洋，且兼跨寒、温、热三带。<br/>
gj18sk8Bjcsy5yyk22	欧洲西部居民主要是白种人，信仰伊斯兰教。<br/>
gj18sk8Bjcsy5yyk23	亚洲具有世界上最典型的季风气候。<br/>
gj18sk8Bjcsy5yyk24	西南季风的不稳定使印度水旱灾害频发。<br/>
gj18sk8Bjcsy5yyk25	我国水资源南丰北缺，解决我国空间降水不均的有效措施是修建水库。<br/>
gj18sk8Bjcsy5yyk26	世界降水分布特征是自低纬地区向高纬地区逐渐减少。<br/>
gj18sk8Bjcsy5yyk27	我国面积居世界第三、人口总数世界第一、汉族人口最多。<br/>
gj18sk8Bjcsy5yyk2801	读图甲，完成36-42题。<br/>位于我国第二级阶梯的区域有（    ）个； <br/>
gj18sk8Bjcsy5yyk2802	属于北方地区的是（    ）<br/>
gj18sk8Bjcsy5yyk2803	江南地区降水大致在（    ）<br/>
gj18sk8Bjcsy5yyk2804	反应中原地区气候类型的气温曲线和降水量柱状图是（    ）<br/>
gj18sk8Bjcsy5yyk2805	A区域种植业属于（    ）<br/>
gj18sk8Bjcsy5yyk2806	制约B区域种植业发展的最大的自然障碍是（    ）<br/>
gj18sk8Bjcsy5yyk2807	下列对于河流①②描述正确的一项是（    ）<br/>
gj18sk8Bjcsy5yyk2808	读图乙完成43-46题。<br/>雄安新区地处下列哪个地形区？（    ）<br/>
gj18sk8Bjcsy5yyk2809	雄安新区属于哪个地区？（    ）<br/>
gj18sk8Bjcsy5yyk2810	雄安新区所处的海河流域是我国严重缺水的地区，造成该地区缺水的主要原因是（    ）<br/>
gj18sk8Bjcsy5yyk2811	雄安新区地处我国哪个工业基地？<br/>
gj18sk8Bjcsy5yyk2812	读图丙完成47-50题。<br/>“河西走廊”是古代“丝绸之路”的重要通道，向西可通往的省级行政单位是（    ）<br/>
gj18sk8Bjcsy5yyk2813	“河西走廊”年降水量的空间分布特征是（    ）<br/>
gj18sk8Bjcsy5yyk2814	“河西走廊”西北方向的山脉H是（    ）<br/>
gj18sk8Bjcsy5yyk2815	位于“河西走廊”西部的敦煌，地表景观最有可能是（    ）<br/>
gj18sk8Bjcsy5yyk2901	图甲中的河流的水源主要来自于（    ）<br/>
gj18sk8Bjcsy5yyk2902	图甲中B地蕴含丰富的油气资源，它是（    ）<br/>
gj18sk8Bjcsy5yyk2903	将图甲中B地的油气资源送往苏州，选用哪种交通运输方式最合适？（    ）<br/>
gj18sk8Bjcsy5yyk2904	图乙中属于我国内海的是（    ）<br/>
gj18sk8Bjcsy5yyk2905	图乙中经过苏州的是（    ）<br/>
mjjsbkszyb8A1c4ks01	如图，\\[\\angle CAB=\\angle DBA,AC=BD,AO=BO\\]，下列结论不一定正确的是（  ）<br/>
mjjsbkszyb8A1c4ks02	如图，点\\[BECF\\]在同一直线上，\\[AB//DE,AB=DE,BE=CF,AC=6\\]，则\\[DF=\\]_____.<br/>
